Closing_date,Number_of_banks
7-Feb-02,1
28-Mar-02,1
30-Sep-02,1
8-Nov-02,1
14-Feb-04,1
30-Jan-09,1
20-Mar-09,1
27-Mar-09,1
10-Apr-09,1
24-Apr-09,1
1-May-09,1
26-Jun-09,1
14-Aug-09,1
4-Sep-09,1
18-Dec-09,2
15-Jan-10,1
5-Mar-10,2
19-Mar-10,1
16-Apr-10,1
4-Jun-10,1
9-Jul-10,1
22-Oct-10,1
21-Jan-11,1
28-Jan-11,1
24-Feb-12,1
9-Mar-12,1
27-Apr-12,1
26-Oct-12,1
13-Sep-13,1
Grand Total,31
