ST,Acquiring Institution
IL,Great Southern Bank
MN,Great Southern Bank
MO,Great Southern Bank
IA,Great Southern Bank
KS,Great Southern Bank
NE,Great Western Bank
IA,Grinnell State Bank
GA,Hamilton State Bank
GA,Hamilton State Bank
GA,Hamilton State Bank
GA,Hamilton State Bank
FL,Hancock Bank
FL,Hancock Bank of Florida
FL,Harbor Community Bank
IL,Harris N.A.
IL,Heartland Bank and Trust Company
IL,Heartland Bank and Trust Company
IL,Heartland Bank and Trust Company
IL,Heartland Bank and Trust Company
WA,Heritage Bank
WA,Heritage Bank
NE,Heritage Bank
NV,Heritage Bank of Nevada
GA,Heritage Bank of the South
GA,Heritage Bank of the South
GA,Heritage Bank of the South
GA,HeritageBank of the South
OK,Herring Bank
CO,Herring Bank
KS,"Hillcrest Bank, N.A."
IL,Hinsdale Bank & Trust Company
LA,Home Bank
OR,Home Federal Bank
OR,Home Federal Bank
MD,Howard Bank
CT,Hudson United Bank
FL,IBERIABANK
FL,IBERIABANK
FL,IBERIABANK
AL,IBERIABANK
GA,ING DIRECT
IL,Inland Bank & Trust
IL,International Bank of Chicago
IL,International Bank of Chicago
FL,Israel Discount Bank of New York
NV,JP Morgan Chase Bank
WA,Kitsap Bank
FL,"Landmark Bank, National Association"
CO,Legacy Bank
MI,Level One Bank
MI,Level One Bank
IL,Liberty Bank and Trust Company
MI,Liberty Bank and Trust Company
MO,Liberty Bank and Trust Company
MD,Manufacturers and Traders Trust Company (M&T Bank)
MD,Manufacturers and Traders Trust Company (M&T Bank)
IL,"MB Financial Bank, N.A."
IL,"MB Financial Bank, N.A."
IL,"MB Financial Bank, N.A."
IL,"MB Financial Bank, N.A."
IL,"MB Financial Bank, N.A."
IL,"MB Financial Bank, N.A."
WI,McFarland State Bank
KS,Metcalf Bank
MO,Metcalf Bank
GA,Metro City Bank
AZ,MidFirst Bank
AZ,MidFirst Bank
MO,Midland States Bank
IL,Midland States Bank
MI,Monroe Bank & Trust
GA,Morris Bank
IL,Morton Community Bank
FL,Mutual of Omaha Bank
CA,Mutual of Omaha Bank
NV,Mutual of Omaha Bank
FL,NAFH National Bank
FL,NAFH National Bank
SC,NAFH National Bank
IL,National Bank
NV,Nevada State Bank
NV,Nevada State Bank
NY,New Century Bank
AZ,New York Community Bank
OH,New York Community Bank
WI,Nicolet National Bank
CT,No Acquirer
PA,No Acquirer
MD,No Acquirer
IL,No Acquirer
MN,No Acquirer
CO,No Acquirer
GA,No Acquirer
AZ,No Acquirer
MD,No Acquirer
IL,No Acquirer
MI,No Acquirer
UT,No Acquirer
UT,No Acquirer
MD,No Acquirer
UT,No Acquirer
MI,No Acquirer
GA,No Acquirer
IL,No Acquirer
NV,No Acquirer
GA,No Acquirer
GA,No Acquirer
CA,No Acquirer
CO,No Acquirer
GA,No Acquirer
GA,No Acquirer
UT,No Acquirer
NJ,No Acquirer
TN,No Acquirer
GA,No Acquirer
MI,No Acquirer
AZ,No Acquirer
NJ,North Jersey Community Bank
WI,"North Shore Bank, FSB"
WI,"North Shore Bank, FSB"
OH,North Valley Bank
IL,Northbrook Bank & Trust Company
IL,Northbrook Bank & Trust Company
IL,Northbrook Bank & Trust Company
IL,Northbrook Bank & Trust Company
GA,Northeast Georgia Bank
MN,Northern State Bank
NJ,Northfield Bank
IN,Old National Bank
IL,"Old Plank Trail Community Bank, National Association"
CA,"OneWest Bank, FSB"
CA,"OneWest Bank, FSB"
CA,"OneWest Bank, FSB"
PR,Oriental Bank and Trust
CA,Pacific Premier Bank
CA,Pacific Premier Bank
CA,Pacific Western Bank
CA,Pacific Western Bank
CA,Pacific Western Bank
SC,Palmetto State Bank
MA,People's United Bank
GA,Peoples Bank of East Tennessee
TX,PlainsCapital Bank
NV,Plaza Bank
NV,Plaza Bank
PA,"PNC Bank, N.A."
CO,Points West Community Bank
PA,Polonia Bank
FL,"Premier American Bank, N.A."
FL,"Premier American Bank, N.A."
FL,"Premier American Bank, N.A."
FL,"Premier American Bank, N.A."
FL,"Premier American Bank, N.A."
NE,Premier Bank
MN,PrinsBank
TX,Prosperity Bank
MO,Providence Bank
IL,"Providence Bank, LLC"
AR,Pulaski Bank and Trust Company
CA,"Rabobank, N.A."
CA,"Rabobank, N.A."
OK,RCB Bank
MO,Regional Missouri Bank
GA,Regions Bank
GA,Regions Bank
GA,Renasant Bank
GA,Renasant Bank
MN,Republic Bank & Trust Company
TN,Republic Bank & Trust Company
IL,Republic Bank of Chicago
IL,Republic Bank of Chicago
IL,Republic Bank of Chicago
IL,Republic Bank of Chicago
IL,Republic Bank of Chicago
IL,Republic Bank of Chicago
VA,"River Community Bank, N.A."
MN,Roundbank
WI,Royal Bank
IL,Royal Savings Bank
FL,"Sabadell United Bank, N.A."
LA,Sabine State Bank & Trust
SC,SCBT National Association
GA,SCBT National Association
GA,SCBT National Association
PR,Scotiabank de Puerto Rico
WI,Seaway Bank and Trust Company
IL,Seaway Bank and Trust Company
MO,Security Bank
MO,Simmons First National Bank
MO,Simmons First National Bank
KS,Simmons First National Bank
MO,Simmons First National Bank
FL,SmartBank
MD,Sonabank
VA,Sonabank
OR,South Valley Bank & Trust
AR,Southern Bank
VA,Southern Bank and Trust Company
NH,Southern New Hampshire Bank & Trust
AL,Southern States Bank
TX,"Spirit of Texas Bank, SSB"
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
GA,State Bank and Trust Company
IL,State Bank of Lincoln
IL,State Bank of Texas
IL,State Bank of Texas
TX,State Bank of Texas
FL,Stearns Bank N.A.
GA,Stearns Bank N.A.
GA,"Stearns Bank, N.A."
AZ,"Stearns Bank, N.A."
GA,"Stearns Bank, N.A."
FL,"Stearns Bank, N.A."
FL,"Stearns Bank, N.A."
MN,"Stearns Bank, N.A."
GA,"Stearns Bank, N.A."
FL,Stonegate Bank
FL,Stonegate Bank
FL,Stonegate Bank
FL,Stonegate Bank
FL,Summit Bank
MO,"Sunflower Bank, N.A."
FL,SunTrust Bank
ID,Sunwest Bank
WA,Sunwest Bank
CA,Sunwest Bank
AZ,Sunwest Bank
CA,Sunwest Bank
AL,"Superior Bank, National Association"
IL,"Superior Federal, FSB"
GA,Synovus Bank
MI,Talmer Bank & Trust
FL,"TD Bank, N.A."
FL,"TD Bank, N.A."
FL,"TD Bank, N.A."
TN,The Bank of Fayette County
KS,The Bennington State Bank
IL,The Carlinville National Bank
OH,The Citizens Banking Company
WV,"The Citizens Savings Bank, Pioneer Community Bank, Inc."
IL,The First National Bank of Beardstown
AZ,The Foothills Bank
IL,The Harvard State Bank
MI,The Huntington National Bank
MI,The Huntington National Bank
IL,The Independent BankersBank (TIB)
MS,The Jefferson Bank
OH,The National Bank and Trust Company
WI,The Park Bank
OK,The Pauls Valley National Bank
TX,The Pecos County State Bank
IL,The PrivateBank and Trust Company
GA,"The Savannah Bank, N.A."
TX,The Security State Bank of Pecos
OH,The State Bank & Trust Company
FL,TIB Bank
AR,Today's Bank
WI,Tri City National Bank
CA,Tri Counties Bank
CA,Tri Counties Bank
MS,Trustmark National Bank
WA,Twin City Bank
TX,U.S. Bank N.A.
TX,U.S. Bank N.A.
TX,U.S. Bank N.A.
IL,U.S. Bank N.A.
CA,U.S. Bank N.A.
CA,U.S. Bank N.A.
CA,U.S. Bank N.A.
IL,U.S. Bank N.A.
AZ,U.S. Bank N.A.
TN,"U.S. Bank, N.A."
NM,"U.S. Bank, N.A."
ID,"U.S. Bank, N.A."
CA,"U.S. Bank, N.A."
CA,"U.S. Bank, N.A."
NV,Umpqua Bank
WA,Umpqua Bank
WA,Umpqua Bank
